date,aisp,crime,occurrences
DEZEMBRO/2019,10,Lesão Corporal Seguida de Morte,0
DEZEMBRO/2019,10,Latrocínio,0
DEZEMBRO/2019,10,Tentativa de Homicídio,1
DEZEMBRO/2019,10,Estupro,0
DEZEMBRO/2019,10,Roubo a Ônibus,7
DEZEMBRO/2019,10,Roubo de Veículo,41
DEZEMBRO/2019,10,Furto de Veículo,10
DEZEMBRO/2019,10,Uso/Porte Entorpecente,4
DEZEMBRO/2019,11,Homicídio Doloso,14
DEZEMBRO/2019,11,Lesão Corporal Seguida de Morte,0
DEZEMBRO/2019,11,Latrocínio,0
DEZEMBRO/2019,11,Tentativa de Homicídio,4
DEZEMBRO/2019,11,Estupro,5
DEZEMBRO/2019,11,Roubo a Ônibus,44
DEZEMBRO/2019,11,Roubo de Veículo,37
DEZEMBRO/2019,11,Furto de Veículo,12
DEZEMBRO/2019,11,Uso/Porte Entorpecente,8
DEZEMBRO/2019,12,Homicídio Doloso,12
DEZEMBRO/2019,12,Lesão Corporal Seguida de Morte,0
DEZEMBRO/2019,12,Latrocínio,0
DEZEMBRO/2019,12,Tentativa de Homicídio,2
DEZEMBRO/2019,12,Estupro,1
DEZEMBRO/2019,12,Roubo a Ônibus,16
DEZEMBRO/2019,12,Roubo de Veículo,61
DEZEMBRO/2019,12,Furto de Veículo,24
DEZEMBRO/2019,12,Uso/Porte Entorpecente,7
DEZEMBRO/2019,13,Homicídio Doloso,3
DEZEMBRO/2019,13,Lesão Corporal Seguida de Morte,0
DEZEMBRO/2019,13,Latrocínio,0
DEZEMBRO/2019,13,Tentativa de Homicídio,2
DEZEMBRO/2019,13,Estupro,1
DEZEMBRO/2019,13,Roubo a Ônibus,14
DEZEMBRO/2019,13,Roubo de Veículo,28
DEZEMBRO/2019,13,Furto de Veículo,4
DEZEMBRO/2019,13,Uso/Porte Entorpecente,1
DEZEMBRO/2019,14,Homicídio Doloso,0
DEZEMBRO/2019,14,Lesão Corporal Seguida de Morte,0
DEZEMBRO/2019,14,Latrocínio,1
DEZEMBRO/2019,14,Tentativa de Homicídio,0
DEZEMBRO/2019,14,Estupro,0
DEZEMBRO/2019,14,Roubo a Ônibus,0
DEZEMBRO/2019,14,Roubo de Veículo,9
DEZEMBRO/2019,14,Furto de Veículo,0
DEZEMBRO/2019,14,Uso/Porte Entorpecente,2
DEZEMBRO/2019,15,Homicídio Doloso,3
DEZEMBRO/2019,15,Lesão Corporal Seguida de Morte,1
DEZEMBRO/2019,15,Latrocínio,0
DEZEMBRO/2019,15,Tentativa de Homicídio,0
DEZEMBRO/2019,15,Estupro,0
DEZEMBRO/2019,15,Roubo a Ônibus,5
DEZEMBRO/2019,15,Roubo de Veículo,2
DEZEMBRO/2019,15,Furto de Veículo,0
DEZEMBRO/2019,15,Uso/Porte Entorpecente,1
DEZEMBRO/2019,16,Homicídio Doloso,1
DEZEMBRO/2019,16,Lesão Corporal Seguida de Morte,0
DEZEMBRO/2019,16,Latrocínio,0
DEZEMBRO/2019,16,Tentativa de Homicídio,0
DEZEMBRO/2019,16,Estupro,2
DEZEMBRO/2019,16,Roubo a Ônibus,15
DEZEMBRO/2019,16,Roubo de Veículo,8
DEZEMBRO/2019,16,Furto de Veículo,2
DEZEMBRO/2019,16,Uso/Porte Entorpecente,4
DEZEMBRO/2017,1,Homicídio Doloso,5
DEZEMBRO/2017,1,Lesão Corporal Seguida de Morte,0
DEZEMBRO/2017,1,Latrocínio,0
DEZEMBRO/2017,1,Tentativa de Homicídio,3
DEZEMBRO/2017,1,Estupro,1
DEZEMBRO/2017,1,Roubo a Ônibus,13
DEZEMBRO/2017,1,Roubo de Veículo,16
DEZEMBRO/2017,1,Furto de Veículo,16
DEZEMBRO/2017,1,Uso/Porte Entorpecente,20
DEZEMBRO/2017,2,Homicídio Doloso,9
DEZEMBRO/2017,2,Lesão Corporal Seguida de Morte,0
DEZEMBRO/2017,2,Latrocínio,0
DEZEMBRO/2017,2,Tentativa de Homicídio,2
DEZEMBRO/2017,2,Estupro,1
DEZEMBRO/2017,2,Roubo a Ônibus,4
DEZEMBRO/2017,2,Roubo de Veículo,47
DEZEMBRO/2017,2,Furto de Veículo,7
DEZEMBRO/2017,2,Uso/Porte Entorpecente,1
DEZEMBRO/2017,3,Homicídio Doloso,10
DEZEMBRO/2017,3,Lesão Corporal Seguida de Morte,0
DEZEMBRO/2017,3,Latrocínio,0
DEZEMBRO/2017,3,Tentativa de Homicídio,3
DEZEMBRO/2017,3,Estupro,2
DEZEMBRO/2017,3,Roubo a Ônibus,13
DEZEMBRO/2017,3,Roubo de Veículo,25
DEZEMBRO/2017,3,Furto de Veículo,15
DEZEMBRO/2017,3,Uso/Porte Entorpecente,6
DEZEMBRO/2017,4,Homicídio Doloso,9
DEZEMBRO/2017,4,Lesão Corporal Seguida de Morte,0
DEZEMBRO/2017,4,Latrocínio,0
DEZEMBRO/2017,4,Tentativa de Homicídio,2
DEZEMBRO/2017,4,Estupro,4
DEZEMBRO/2017,4,Roubo a Ônibus,15
DEZEMBRO/2017,4,Roubo de Veículo,46
DEZEMBRO/2017,4,Furto de Veículo,8
DEZEMBRO/2017,4,Uso/Porte Entorpecente,2
DEZEMBRO/2017,5,Homicídio Doloso,23
DEZEMBRO/2017,5,Lesão Corporal Seguida de Morte,0
DEZEMBRO/2017,5,Latrocínio,0
DEZEMBRO/2017,5,Tentativa de Homicídio,4
DEZEMBRO/2017,5,Estupro,3
DEZEMBRO/2017,5,Roubo a Ônibus,19
DEZEMBRO/2017,5,Roubo de Veículo,29
DEZEMBRO/2017,5,Furto de Veículo,5
DEZEMBRO/2017,5,Uso/Porte Entorpecente,5
DEZEMBRO/2017,6,Homicídio Doloso,9
DEZEMBRO/2017,6,Lesão Corporal Seguida de Morte,0
DEZEMBRO/2017,6,Latrocínio,0
DEZEMBRO/2017,6,Tentativa de Homicídio,1
DEZEMBRO/2017,6,Estupro,0
DEZEMBRO/2017,6,Roubo a Ônibus,15
DEZEMBRO/2017,6,Roubo de Veículo,29
DEZEMBRO/2017,6,Furto de Veículo,5
DEZEMBRO/2017,6,Uso/Porte Entorpecente,7
DEZEMBRO/2017,7,Homicídio Doloso,2
DEZEMBRO/2017,7,Lesão Corporal Seguida de Morte,0
DEZEMBRO/2017,7,Latrocínio,0
DEZEMBRO/2017,7,Tentativa de Homicídio,2
DEZEMBRO/2017,7,Estupro,3
DEZEMBRO/2017,7,Roubo a Ônibus,22
DEZEMBRO/2017,7,Roubo de Veículo,15
DEZEMBRO/2017,7,Furto de Veículo,3
DEZEMBRO/2017,7,Uso/Porte Entorpecente,8
DEZEMBRO/2017,8,Homicídio Doloso,5
DEZEMBRO/2017,8,Lesão Corporal Seguida de Morte,0
DEZEMBRO/2017,8,Latrocínio,0
DEZEMBRO/2017,8,Tentativa de Homicídio,0
DEZEMBRO/2017,8,Estupro,1
DEZEMBRO/2017,8,Roubo a Ônibus,3
DEZEMBRO/2017,8,Roubo de Veículo,8
DEZEMBRO/2017,8,Furto de Veículo,0
DEZEMBRO/2017,8,Uso/Porte Entorpecente,5
DEZEMBRO/2017,9,Homicídio Doloso,4
DEZEMBRO/2017,9,Lesão Corporal Seguida de Morte,0
DEZEMBRO/2017,9,Latrocínio,0
DEZEMBRO/2017,9,Tentativa de Homicídio,0
DEZEMBRO/2017,9,Estupro,1
DEZEMBRO/2017,9,Roubo a Ônibus,3
DEZEMBRO/2017,9,Roubo de Veículo,25
DEZEMBRO/2017,9,Furto de Veículo,9
DEZEMBRO/2017,9,Uso/Porte Entorpecente,16
DEZEMBRO/2017,10,Homicídio Doloso,15
DEZEMBRO/2017,10,Lesão Corporal Seguida de Morte,0
DEZEMBRO/2017,10,Latrocínio,0
DEZEMBRO/2017,10,Tentativa de Homicídio,6
DEZEMBRO/2017,10,Estupro,4
DEZEMBRO/2017,10,Roubo a Ônibus,3
DEZEMBRO/2017,10,Roubo de Veículo,31
DEZEMBRO/2017,10,Furto de Veículo,11
DEZEMBRO/2017,10,Uso/Porte Entorpecente,1
DEZEMBRO/2017,11,Homicídio Doloso,13
DEZEMBRO/2017,11,Lesão Corporal Seguida de Morte,0
DEZEMBRO/2017,11,Latrocínio,0
DEZEMBRO/2017,11,Tentativa de Homicídio,2
DEZEMBRO/2017,11,Estupro,6
DEZEMBRO/2017,11,Roubo a Ônibus,22
DEZEMBRO/2017,11,Roubo de Veículo,39
DEZEMBRO/2017,11,Furto de Veículo,11
DEZEMBRO/2017,11,Uso/Porte Entorpecente,12
DEZEMBRO/2017,12,Homicídio Doloso,11
DEZEMBRO/2017,12,Lesão Corporal Seguida de Morte,1
DEZEMBRO/2017,12,Latrocínio,0
DEZEMBRO/2017,12,Tentativa de Homicídio,1
DEZEMBRO/2017,12,Estupro,6
DEZEMBRO/2017,12,Roubo a Ônibus,9
DEZEMBRO/2017,12,Roubo de Veículo,52
DEZEMBRO/2017,12,Furto de Veículo,11
DEZEMBRO/2017,12,Uso/Porte Entorpecente,2
DEZEMBRO/2017,13,Homicídio Doloso,7
DEZEMBRO/2017,13,Lesão Corporal Seguida de Morte,0
DEZEMBRO/2017,13,Latrocínio,0
DEZEMBRO/2017,13,Tentativa de Homicídio,2
DEZEMBRO/2017,13,Estupro,2
DEZEMBRO/2017,13,Roubo a Ônibus,7
DEZEMBRO/2017,13,Roubo de Veículo,40
DEZEMBRO/2017,13,Furto de Veículo,1
DEZEMBRO/2017,13,Uso/Porte Entorpecente,4
DEZEMBRO/2017,14,Homicídio Doloso,1
DEZEMBRO/2017,14,Lesão Corporal Seguida de Morte,0
DEZEMBRO/2017,14,Latrocínio,0
DEZEMBRO/2017,14,Tentativa de Homicídio,0
DEZEMBRO/2017,14,Estupro,1
DEZEMBRO/2017,14,Roubo a Ônibus,0
DEZEMBRO/2017,14,Roubo de Veículo,8
DEZEMBRO/2017,14,Furto de Veículo,5
DEZEMBRO/2017,14,Uso/Porte Entorpecente,9
DEZEMBRO/2017,15,Homicídio Doloso,2
DEZEMBRO/2017,15,Lesão Corporal Seguida de Morte,0
DEZEMBRO/2017,15,Latrocínio,0
DEZEMBRO/2017,15,Tentativa de Homicídio,1
DEZEMBRO/2017,15,Estupro,0
DEZEMBRO/2017,15,Roubo a Ônibus,1
DEZEMBRO/2017,15,Roubo de Veículo,1
DEZEMBRO/2017,15,Furto de Veículo,1
DEZEMBRO/2017,15,Uso/Porte Entorpecente,7
DEZEMBRO/2017,16,Homicídio Doloso,0
DEZEMBRO/2017,16,Lesão Corporal Seguida de Morte,0
DEZEMBRO/2017,16,Latrocínio,0
DEZEMBRO/2017,16,Tentativa de Homicídio,0
DEZEMBRO/2017,16,Estupro,0
DEZEMBRO/2017,16,Roubo a Ônibus,11
DEZEMBRO/2017,16,Roubo de Veículo,22
DEZEMBRO/2017,16,Furto de Veículo,3
DEZEMBRO/2017,16,Uso/Porte Entorpecente,6
JULHO/2019,1,Homicídio Doloso,5
JULHO/2019,1,Lesão Corporal Seguida de Morte,0
JULHO/2019,1,Latrocínio,0
JULHO/2019,1,Tentativa de Homicídio,2
JULHO/2019,1,Estupro,0
JULHO/2019,1,Roubo a Ônibus,4
JULHO/2019,1,Roubo de Veículo,10
JULHO/2019,1,Furto de Veículo,5
JULHO/2019,1,Uso/Porte Entorpecente,13
JULHO/2019,2,Homicídio Doloso,5
JULHO/2019,2,Lesão Corporal Seguida de Morte,0
JULHO/2019,2,Latrocínio,0
JULHO/2019,2,Tentativa de Homicídio,0
JULHO/2019,2,Estupro,1
JULHO/2019,2,Roubo a Ônibus,4
JULHO/2019,2,Roubo de Veículo,30
JULHO/2019,2,Furto de Veículo,14
JULHO/2019,2,Uso/Porte Entorpecente,3
JULHO/2019,3,Homicídio Doloso,2
JULHO/2019,3,Lesão Corporal Seguida de Morte,0
JULHO/2019,3,Latrocínio,0
JULHO/2019,3,Tentativa de Homicídio,0
JULHO/2019,3,Estupro,0
JULHO/2019,3,Roubo a Ônibus,15
JULHO/2019,3,Roubo de Veículo,16
JULHO/2019,3,Furto de Veículo,11
JULHO/2019,3,Uso/Porte Entorpecente,10
JULHO/2019,4,Homicídio Doloso,7
JULHO/2019,4,Lesão Corporal Seguida de Morte,0
JULHO/2019,4,Latrocínio,0
JULHO/2019,4,Tentativa de Homicídio,1
JULHO/2019,4,Estupro,2
JULHO/2019,4,Roubo a Ônibus,26
JULHO/2019,4,Roubo de Veículo,55
JULHO/2019,4,Furto de Veículo,9
JULHO/2019,4,Uso/Porte Entorpecente,1
JULHO/2019,5,Homicídio Doloso,16
JULHO/2019,5,Lesão Corporal Seguida de Morte,0
JULHO/2019,5,Latrocínio,0
JULHO/2019,5,Tentativa de Homicídio,4
JULHO/2019,5,Estupro,3
JULHO/2019,5,Roubo a Ônibus,12
JULHO/2019,5,Roubo de Veículo,32
JULHO/2019,5,Furto de Veículo,7
JULHO/2019,5,Uso/Porte Entorpecente,1
JULHO/2019,6,Homicídio Doloso,1
JULHO/2019,6,Lesão Corporal Seguida de Morte,0
JULHO/2019,6,Latrocínio,0
JULHO/2019,6,Tentativa de Homicídio,0
JULHO/2019,6,Estupro,3
JULHO/2019,6,Roubo a Ônibus,6
JULHO/2019,6,Roubo de Veículo,33
JULHO/2019,6,Furto de Veículo,19
JULHO/2019,6,Uso/Porte Entorpecente,6
JULHO/2019,7,Homicídio Doloso,1
JULHO/2019,7,Lesão Corporal Seguida de Morte,0
JULHO/2019,7,Latrocínio,0
JULHO/2019,7,Tentativa de Homicídio,1
JULHO/2019,7,Estupro,2
JULHO/2019,7,Roubo a Ônibus,2
JULHO/2019,7,Roubo de Veículo,14
JULHO/2019,7,Furto de Veículo,9
JULHO/2019,7,Uso/Porte Entorpecente,9
JULHO/2019,8,Homicídio Doloso,2
JULHO/2019,8,Lesão Corporal Seguida de Morte,0
JULHO/2019,8,Latrocínio,0
JULHO/2019,8,Tentativa de Homicídio,0
JULHO/2019,8,Estupro,0
JULHO/2019,8,Roubo a Ônibus,0
JULHO/2019,8,Roubo de Veículo,16
JULHO/2019,8,Furto de Veículo,1
JULHO/2019,8,Uso/Porte Entorpecente,7
JULHO/2019,9,Homicídio Doloso,2
JULHO/2019,9,Lesão Corporal Seguida de Morte,0
JULHO/2019,9,Latrocínio,0
JULHO/2019,9,Tentativa de Homicídio,0
JULHO/2019,9,Estupro,1
JULHO/2019,9,Roubo a Ônibus,1
JULHO/2019,9,Roubo de Veículo,37
JULHO/2019,9,Furto de Veículo,6
JULHO/2019,9,Uso/Porte Entorpecente,6
JULHO/2019,10,Homicídio Doloso,3
JULHO/2019,10,Lesão Corporal Seguida de Morte,0
JULHO/2019,10,Latrocínio,0
JULHO/2019,10,Tentativa de Homicídio,2
JULHO/2019,10,Estupro,1
JULHO/2019,10,Roubo a Ônibus,4
JULHO/2019,10,Roubo de Veículo,39
JULHO/2019,10,Furto de Veículo,13
JULHO/2019,10,Uso/Porte Entorpecente,2
JULHO/2019,11,Homicídio Doloso,5
JULHO/2019,11,Lesão Corporal Seguida de Morte,0
JULHO/2019,11,Latrocínio,0
JULHO/2019,11,Tentativa de Homicídio,2
JULHO/2019,11,Estupro,2
JULHO/2019,11,Roubo a Ônibus,28
JULHO/2019,11,Roubo de Veículo,61
JULHO/2019,11,Furto de Veículo,16
JULHO/2019,11,Uso/Porte Entorpecente,13
JULHO/2019,12,Homicídio Doloso,8
JULHO/2019,12,Lesão Corporal Seguida de Morte,0
JULHO/2019,12,Latrocínio,0
JULHO/2019,12,Tentativa de Homicídio,4
JULHO/2019,12,Estupro,1
JULHO/2019,12,Roubo a Ônibus,16
JULHO/2019,12,Roubo de Veículo,45
JULHO/2019,12,Furto de Veículo,14
JULHO/2019,12,Uso/Porte Entorpecente,5
JULHO/2019,13,Homicídio Doloso,13
JULHO/2019,13,Lesão Corporal Seguida de Morte,0
JULHO/2019,13,Latrocínio,1
JULHO/2019,13,Tentativa de Homicídio,3
JULHO/2019,13,Estupro,2
JULHO/2019,13,Roubo a Ônibus,12
JULHO/2019,13,Roubo de Veículo,31
JULHO/2019,13,Furto de Veículo,6
JULHO/2019,13,Uso/Porte Entorpecente,4
JULHO/2019,14,Homicídio Doloso,0
JULHO/2019,14,Lesão Corporal Seguida de Morte,0
JULHO/2019,14,Latrocínio,0
JULHO/2019,14,Tentativa de Homicídio,0
JULHO/2019,14,Estupro,0
JULHO/2019,14,Roubo a Ônibus,0
JULHO/2019,14,Roubo de Veículo,3
JULHO/2019,14,Furto de Veículo,0
JULHO/2019,14,Uso/Porte Entorpecente,2
JULHO/2019,15,Homicídio Doloso,4
JULHO/2019,15,Lesão Corporal Seguida de Morte,0
JULHO/2019,15,Latrocínio,0
JULHO/2019,15,Tentativa de Homicídio,0
JULHO/2019,15,Estupro,0
JULHO/2019,15,Roubo a Ônibus,1
JULHO/2019,15,Roubo de Veículo,1
JULHO/2019,15,Furto de Veículo,0
JULHO/2019,15,Uso/Porte Entorpecente,8
JULHO/2019,16,Homicídio Doloso,0
JULHO/2019,16,Lesão Corporal Seguida de Morte,0
JULHO/2019,16,Latrocínio,0
JULHO/2019,16,Tentativa de Homicídio,0
JULHO/2019,16,Estupro,1
JULHO/2019,16,Roubo a Ônibus,7
JULHO/2019,16,Roubo de Veículo,12
JULHO/2019,16,Furto de Veículo,3
JULHO/2019,16,Uso/Porte Entorpecente,11
JULHO/2018,1,Homicídio Doloso,0
JULHO/2018,1,Lesão Corporal Seguida de Morte,0
JULHO/2018,1,Latrocínio,0
JULHO/2018,1,Tentativa de Homicídio,0
JULHO/2018,1,Estupro,4
JULHO/2018,1,Roubo a Ônibus,11
JULHO/2018,1,Roubo de Veículo,17
JULHO/2018,1,Furto de Veículo,4
JULHO/2018,1,Uso/Porte Entorpecente,18
JULHO/2018,2,Homicídio Doloso,4
JULHO/2018,2,Lesão Corporal Seguida de Morte,0
JULHO/2018,2,Latrocínio,0
JULHO/2018,2,Tentativa de Homicídio,1
JULHO/2018,2,Estupro,3
JULHO/2018,2,Roubo a Ônibus,2
JULHO/2018,2,Roubo de Veículo,44
JULHO/2018,2,Furto de Veículo,8
JULHO/2018,2,Uso/Porte Entorpecente,1
JULHO/2018,3,Homicídio Doloso,4
JULHO/2018,3,Lesão Corporal Seguida de Morte,0
JULHO/2018,3,Latrocínio,0
JULHO/2018,3,Tentativa de Homicídio,2
JULHO/2018,3,Estupro,0
JULHO/2018,3,Roubo a Ônibus,24
JULHO/2018,3,Roubo de Veículo,27
JULHO/2018,3,Furto de Veículo,21
JULHO/2018,3,Uso/Porte Entorpecente,6
JULHO/2018,4,Homicídio Doloso,6
JULHO/2018,4,Lesão Corporal Seguida de Morte,0
JULHO/2018,4,Latrocínio,0
JULHO/2018,4,Tentativa de Homicídio,0
JULHO/2018,4,Estupro,2
JULHO/2018,4,Roubo a Ônibus,10
JULHO/2018,4,Roubo de Veículo,52
JULHO/2018,4,Furto de Veículo,14
JULHO/2018,4,Uso/Porte Entorpecente,6
JULHO/2018,5,Homicídio Doloso,20
JULHO/2018,5,Lesão Corporal Seguida de Morte,0
JULHO/2018,5,Latrocínio,0
JULHO/2018,5,Tentativa de Homicídio,8
JULHO/2018,5,Estupro,11
JULHO/2018,5,Roubo a Ônibus,29
JULHO/2018,5,Roubo de Veículo,28
JULHO/2018,5,Furto de Veículo,6
JULHO/2018,5,Uso/Porte Entorpecente,4
JULHO/2018,6,Homicídio Doloso,3
JULHO/2018,6,Lesão Corporal Seguida de Morte,0
JULHO/2018,6,Latrocínio,0
JULHO/2018,6,Tentativa de Homicídio,1
JULHO/2018,6,Estupro,4
JULHO/2018,6,Roubo a Ônibus,8
JULHO/2018,6,Roubo de Veículo,34
JULHO/2018,6,Furto de Veículo,12
JULHO/2018,6,Uso/Porte Entorpecente,12
JULHO/2018,7,Homicídio Doloso,4
JULHO/2018,7,Lesão Corporal Seguida de Morte,0
JULHO/2018,7,Latrocínio,0
JULHO/2018,7,Tentativa de Homicídio,1
JULHO/2018,7,Estupro,4
JULHO/2018,7,Roubo a Ônibus,4
JULHO/2018,7,Roubo de Veículo,19
JULHO/2018,7,Furto de Veículo,3
JULHO/2018,7,Uso/Porte Entorpecente,23
JULHO/2018,8,Homicídio Doloso,3
JULHO/2018,8,Lesão Corporal Seguida de Morte,0
JULHO/2018,8,Latrocínio,1
JULHO/2018,8,Tentativa de Homicídio,1
JULHO/2018,8,Estupro,1
JULHO/2018,8,Roubo a Ônibus,2
JULHO/2018,8,Roubo de Veículo,10
JULHO/2018,8,Furto de Veículo,1
JULHO/2018,8,Uso/Porte Entorpecente,7
JULHO/2018,9,Homicídio Doloso,3
JULHO/2018,9,Lesão Corporal Seguida de Morte,0
JULHO/2018,9,Latrocínio,0
JULHO/2018,9,Tentativa de Homicídio,2
JULHO/2018,9,Estupro,0
JULHO/2018,9,Roubo a Ônibus,13
JULHO/2018,9,Roubo de Veículo,33
JULHO/2018,9,Furto de Veículo,4
JULHO/2018,9,Uso/Porte Entorpecente,9
JULHO/2018,10,Homicídio Doloso,10
JULHO/2018,10,Lesão Corporal Seguida de Morte,0
JULHO/2018,10,Latrocínio,0
JULHO/2018,10,Tentativa de Homicídio,3
JULHO/2018,10,Estupro,3
JULHO/2018,10,Roubo a Ônibus,6
JULHO/2018,10,Roubo de Veículo,33
JULHO/2018,10,Furto de Veículo,8
JULHO/2018,10,Uso/Porte Entorpecente,1
JULHO/2018,11,Homicídio Doloso,10
JULHO/2018,11,Lesão Corporal Seguida de Morte,0
JULHO/2018,11,Latrocínio,0
JULHO/2018,11,Tentativa de Homicídio,0
JULHO/2018,11,Estupro,1
JULHO/2018,11,Roubo a Ônibus,21
JULHO/2018,11,Roubo de Veículo,72
JULHO/2018,11,Furto de Veículo,13
JULHO/2018,11,Uso/Porte Entorpecente,12
JULHO/2018,12,Homicídio Doloso,12
JULHO/2018,12,Lesão Corporal Seguida de Morte,0
JULHO/2018,12,Latrocínio,0
JULHO/2018,12,Tentativa de Homicídio,1
JULHO/2018,12,Estupro,5
JULHO/2018,12,Roubo a Ônibus,7
JULHO/2018,12,Roubo de Veículo,55
JULHO/2018,12,Furto de Veículo,16
JULHO/2018,12,Uso/Porte Entorpecente,8
JULHO/2018,13,Homicídio Doloso,5
JULHO/2018,13,Lesão Corporal Seguida de Morte,0
JULHO/2018,13,Latrocínio,0
JULHO/2018,13,Tentativa de Homicídio,6
JULHO/2018,13,Estupro,0
JULHO/2018,13,Roubo a Ônibus,9
JULHO/2018,13,Roubo de Veículo,32
JULHO/2018,13,Furto de Veículo,3
JULHO/2018,13,Uso/Porte Entorpecente,5
JULHO/2018,14,Homicídio Doloso,0
JULHO/2018,14,Lesão Corporal Seguida de Morte,0
JULHO/2018,14,Latrocínio,0
JULHO/2018,14,Tentativa de Homicídio,1
JULHO/2018,14,Estupro,0
JULHO/2018,14,Roubo a Ônibus,1
JULHO/2018,14,Roubo de Veículo,3
JULHO/2018,14,Furto de Veículo,0
JULHO/2018,14,Uso/Porte Entorpecente,5
JULHO/2018,15,Homicídio Doloso,1
JULHO/2018,15,Lesão Corporal Seguida de Morte,0
JULHO/2018,15,Latrocínio,0
JULHO/2018,15,Tentativa de Homicídio,0
JULHO/2018,15,Estupro,0
JULHO/2018,15,Roubo a Ônibus,0
JULHO/2018,15,Roubo de Veículo,2
JULHO/2018,15,Furto de Veículo,1
JULHO/2018,15,Uso/Porte Entorpecente,1
JULHO/2018,16,Homicídio Doloso,0
